session,device,channel,region,quarter,start_min,p2p_median_uv,pct_windows_over_common,pops_per_min
gng_flex,flex,O2,occipital,4,12.571838188169325,27.220815821812863,0.0,0.0
gng_flex,flex,PO10,occipital,4,12.571838188169325,26.19600524288147,2.631578947368421,0.3484026556868904
gng_flex,flex,P4,parietal,4,12.571838188169325,16.930910832719483,0.0,0.0
gng_flex,flex,P8,parietal,4,12.571838188169325,21.67246092737632,0.0,0.0
gng_flex,flex,CP2,centro-parietal,4,12.571838188169325,28.210594027496377,0.0,0.0
gng_flex,flex,CP6,centro-parietal,4,12.571838188169325,20.051735161979444,0.0,0.0
oddball_flex,flex,C3,central,1,4.013213807767897,15.453636963592416,0.0,0.0
oddball_flex,flex,T7,central,1,4.013213807767897,24.727270860001987,4.55531453362256,0.2601623676291758
oddball_flex,flex,FC1,fronto-central,1,4.013213807767897,23.900233277498533,1.735357917570499,0.2601623676291758
oddball_flex,flex,FC5,fronto-central,1,4.013213807767897,23.823896117286203,0.21691973969631237,0.0
oddball_flex,flex,FT9,fronto-central,1,4.013213807767897,33.76865701876129,0.0,0.0
oddball_flex,flex,F3,frontal,1,4.013213807767897,22.89913979204334,0.0,0.0
oddball_flex,flex,F7,frontal,1,4.013213807767897,27.185265167917436,0.21691973969631237,0.0
oddball_flex,flex,Fp1,prefrontal,1,4.013213807767897,29.7206947091411,0.6507592190889371,0.0
oddball_flex,flex,Pz,parietal,1,4.013213807767897,19.235256253194997,0.0,0.0
oddball_flex,flex,Cz,central,1,4.013213807767897,17.862286805531426,0.0,0.0
oddball_flex,flex,O1,occipital,1,4.013213807767897,27.806811860736573,0.43383947939262474,0.2601623676291758
oddball_flex,flex,PO9,occipital,1,4.013213807767897,37.61694491257582,3.036876355748373,0.2601623676291758
oddball_flex,flex,P3,parietal,1,4.013213807767897,17.161786906156955,0.0,0.0
oddball_flex,flex,P7,parietal,1,4.013213807767897,25.394648463309714,0.0,0.0
oddball_flex,flex,CP1,centro-parietal,1,4.013213807767897,25.553553202073253,0.0,0.0
oddball_flex,flex,CP5,centro-parietal,1,4.013213807767897,16.716447373158314,0.0,0.0
oddball_flex,flex,C4,central,1,4.013213807767897,17.687317687960558,0.0,0.0
oddball_flex,flex,T8,central,1,4.013213807767897,25.887476026839156,3.2537960954446854,0.0
oddball_flex,flex,FC2,fronto-central,1,4.013213807767897,18.33061827916646,0.0,0.0
oddball_flex,flex,FC6,fronto-central,1,4.013213807767897,23.30360820514074,0.0,0.0
oddball_flex,flex,FT10,fronto-central,1,4.013213807767897,34.75232589893865,3.2537960954446854,1.040649470516703
oddball_flex,flex,F4,frontal,1,4.013213807767897,26.299177297905015,0.21691973969631237,0.0
oddball_flex,flex,F8,frontal,1,4.013213807767897,21.81517568820764,0.0,0.0
oddball_flex,flex,Fp2,prefrontal,1,4.013213807767897,16.503201018711096,0.0,0.0
oddball_flex,flex,Oz,occipital,1,4.013213807767897,27.138189545260225,0.0,0.0
oddball_flex,flex,Fz,frontal,1,4.013213807767897,20.73813299139316,0.0,0.0
oddball_flex,flex,O2,occipital,1,4.013213807767897,27.2701971716574,1.0845986984815619,0.0
oddball_flex,flex,PO10,occipital,1,4.013213807767897,26.76560830320451,0.21691973969631237,0.0
oddball_flex,flex,P4,parietal,1,4.013213807767897,17.277052935933817,0.0,0.0
oddball_flex,flex,P8,parietal,1,4.013213807767897,25.340897178066534,0.0,0.0
oddball_flex,flex,CP2,centro-parietal,1,4.013213807767897,39.30550786108993,0.0,0.0
oddball_flex,flex,CP6,centro-parietal,1,4.013213807767897,22.781177689000785,0.0,0.0
oddball_flex,flex,C3,central,2,7.856967264937217,15.682964885910902,0.0,0.0
oddball_flex,flex,T7,central,2,7.856967264937217,26.16917569966302,0.8676789587852495,0.0
oddball_flex,flex,FC1,fronto-central,2,7.856967264937217,25.51750484150009,1.9522776572668112,0.7804871028875273
oddball_flex,flex,FC5,fronto-central,2,7.856967264937217,22.244983058216935,0.0,0.0
oddball_flex,flex,FT9,fronto-central,2,7.856967264937217,32.91349104918155,0.0,0.0
oddball_flex,flex,F3,frontal,2,7.856967264937217,22.384268474073586,0.8676789587852495,0.2601623676291758
oddball_flex,flex,F7,frontal,2,7.856967264937217,26.44942252435808,0.0,0.0
oddball_flex,flex,Fp1,prefrontal,2,7.856967264937217,29.84844625080859,0.0,0.0
oddball_flex,flex,Pz,parietal,2,7.856967264937217,21.548704872387646,0.0,0.0
oddball_flex,flex,Cz,central,2,7.856967264937217,18.644394780215407,2.8199566160520604,1.5609742057750546
oddball_flex,flex,O1,occipital,2,7.856967264937217,58.94980244947945,4.772234273318872,0.2601623676291758
oddball_flex,flex,PO9,occipital,2,7.856967264937217,46.11444216897271,13.015184381778742,1.040649470516703
oddball_flex,flex,P3,parietal,2,7.856967264937217,23.586194978837014,0.0,0.0
oddball_flex,flex,P7,parietal,2,7.856967264937217,29.495624555098303,0.0,0.0
oddball_flex,flex,CP1,centro-parietal,2,7.856967264937217,26.03063444280614,2.8199566160520604,0.2601623676291758
oddball_flex,flex,CP5,centro-parietal,2,7.856967264937217,18.11752760224016,0.0,0.0
oddball_flex,flex,C4,central,2,7.856967264937217,17.575687826864346,0.0,0.0
oddball_flex,flex,T8,central,2,7.856967264937217,30.840820595716306,0.21691973969631237,0.0
oddball_flex,flex,FC2,fronto-central,2,7.856967264937217,17.08512768392075,0.21691973969631237,0.0
oddball_flex,flex,FC6,fronto-central,2,7.856967264937217,25.204453580633555,0.21691973969631237,0.0
oddball_flex,flex,FT10,fronto-central,2,7.856967264937217,44.93238601903061,4.121475054229935,1.3008118381458789
oddball_flex,flex,F4,frontal,2,7.856967264937217,24.02335109642197,0.0,0.0
oddball_flex,flex,F8,frontal,2,7.856967264937217,22.547447748860623,0.0,0.0
oddball_flex,flex,Fp2,prefrontal,2,7.856967264937217,17.188959327289332,0.0,0.0
oddball_flex,flex,Oz,occipital,2,7.856967264937217,37.19193030369977,8.459869848156181,0.5203247352583515
oddball_flex,flex,Fz,frontal,2,7.856967264937217,20.551616628396793,0.43383947939262474,0.2601623676291758
oddball_flex,flex,O2,occipital,2,7.856967264937217,41.99071034268321,15.835140997830802,2.341461308662582
oddball_flex,flex,PO10,occipital,2,7.856967264937217,43.49360366722543,14.75054229934924,2.081298941033406
oddball_flex,flex,P4,parietal,2,7.856967264937217,20.501542529142412,0.43383947939262474,0.0
oddball_flex,flex,P8,parietal,2,7.856967264937217,34.5349468825592,0.0,0.0
oddball_flex,flex,CP2,centro-parietal,2,7.856967264937217,23.70209042139387,0.6507592190889371,0.5203247352583515
oddball_flex,flex,CP6,centro-parietal,2,7.856967264937217,24.957896795914394,0.0,0.0
oddball_flex,flex,C3,central,3,11.700720722106537,15.29292921583534,0.4329004329004329,0.2601623676291758
oddball_flex,flex,T7,central,3,11.700720722106537,25.994951071019777,0.0,0.0
oddball_flex,flex,FC1,fronto-central,3,11.700720722106537,23.25571938395015,0.0,0.0
oddball_flex,flex,FC5,fronto-central,3,11.700720722106537,22.745445689551495,0.0,0.0
oddball_flex,flex,FT9,fronto-central,3,11.700720722106537,34.068299920118776,0.0,0.0
oddball_flex,flex,F3,frontal,3,11.700720722106537,24.059871758489063,0.21645021645021645,0.0
oddball_flex,flex,F7,frontal,3,11.700720722106537,27.349693059135905,0.21645021645021645,0.0
oddball_flex,flex,Fp1,prefrontal,3,11.700720722106537,33.520652738760674,1.5151515151515151,0.2601623676291758
oddball_flex,flex,Pz,parietal,3,11.700720722106537,20.419538545301215,0.21645021645021645,0.0
