session,device,channel,region,state,pair,duration_s,hf_20_40_uv_rms,p2p_median_uv,p2p_p99_over_median,pct_windows_over_common,rail_pct,marked_bad
oddball_flex,flex,CP5,centro-parietal,closed,2,63.735,1.0603020581952514,13.405678478172405,1.5333579669734256,0.0,0.17602923557798497,False
oddball_flex,flex,C4,central,closed,2,63.735,1.0164772541855176,13.642332604588038,1.4589427450548023,0.0,0.5836406594068551,False
oddball_flex,flex,T8,central,closed,2,63.735,1.4339718839386413,20.317270219278846,1.5185669582111962,0.0,0.7884503403454992,False
oddball_flex,flex,FC2,fronto-central,closed,2,63.735,1.0732290011187762,13.758888391465417,5.257433408094299,0.0,0.3098917721391902,False
oddball_flex,flex,FC6,fronto-central,closed,2,63.735,1.1305135248803009,15.692113803976728,4.865426629829467,0.0,0.6519105530530698,False
oddball_flex,flex,FT10,fronto-central,closed,2,63.735,1.8043943565014517,26.364322999634837,2.837801346776506,0.0,0.6358470486657252,False
oddball_flex,flex,F4,frontal,closed,2,63.735,1.1736158043276532,19.373040467992205,4.10939832029071,0.0,0.7375825764522412,False
oddball_flex,flex,F8,frontal,closed,2,63.735,1.1932431900327822,17.45371542259477,1.7315345278702585,0.0,0.8895165554492093,False
oddball_flex,flex,Fp2,prefrontal,closed,2,63.735,0.8716711984989648,12.988070066277757,7.0854046343388974,0.0,2.0380571191443506,False
oddball_flex,flex,Oz,occipital,closed,2,63.735,1.9461942778050325,23.03702943516195,1.5813933677909906,0.0,0.6418708628109794,False
oddball_flex,flex,Fz,frontal,closed,2,63.735,1.1210306492355342,15.631406017098115,5.8778600322833565,0.0,0.34536534432790966,False
oddball_flex,flex,O2,occipital,closed,2,63.735,3.4664689023117474,29.75461082976875,1.5965053660123434,0.0,1.211455955878908,False
oddball_flex,flex,PO10,occipital,closed,2,63.735,1.6424189911572242,23.26653862569207,2.738255014717217,0.0,0.9490853842189456,True
oddball_flex,flex,P4,parietal,closed,2,63.735,1.237870729443772,15.018572115703423,1.4506071437291455,0.0,0.3005213945799059,False
oddball_flex,flex,P8,parietal,closed,2,63.735,1.849189950583293,20.87071743711479,1.3931525121732633,0.0,1.1679506314965162,False
oddball_flex,flex,CP2,centro-parietal,closed,2,63.735,0.975599361493762,12.558018151493975,1.4346920202562348,0.0,0.6204528569611866,False
oddball_flex,flex,CP6,centro-parietal,closed,2,63.735,1.691112649816049,18.596183505574164,3.5514425704694665,0.0,0.6733285589028627,False
oddball_flex,flex,C3,central,open,2,57.1053,1.2518608880117645,17.277993575451745,4.595965745938121,0.0,0.33800290481704337,False
oddball_flex,flex,T7,central,open,2,57.1053,2.043942198315679,33.95006886863405,22.205991161838472,11.304347826086957,0.15996573119064034,False
oddball_flex,flex,FC1,fronto-central,open,2,57.1053,1.3947861411964617,31.958048933885664,6.664456494835317,5.217391304347826,0.2958362058002637,False
oddball_flex,flex,FC5,fronto-central,open,2,57.1053,1.8701880514024563,26.638118077083035,4.506144656764342,1.7391304347826086,0.33800290481704337,False
oddball_flex,flex,FT9,fronto-central,open,2,57.1053,2.2638337812440854,42.303519877151786,3.141100581070758,4.3478260869565215,0.17736786094359702,False
oddball_flex,flex,F3,frontal,open,2,57.1053,1.7685651179294288,27.875300196990423,5.830610424233442,1.7391304347826086,0.5334422081964031,False
oddball_flex,flex,F7,frontal,open,2,57.1053,1.8618314775759321,39.04331408843821,4.929662018659946,6.956521739130435,0.4819051316203391,False
oddball_flex,flex,Fp1,prefrontal,open,2,57.1053,2.4194485608962997,36.693518143667816,5.980855537619817,7.82608695652174,2.596263896604577,False
oddball_flex,flex,Pz,parietal,open,2,57.1053,1.9262792688754637,25.85486583627598,18.936492090296685,11.304347826086957,0.19075411459971756,False
oddball_flex,flex,Cz,central,open,2,57.1053,1.295511714363019,25.390781415383273,7.073962178657823,5.217391304347826,0.3895399813931074,False
oddball_flex,flex,O1,occipital,open,2,57.1053,5.177053178835237,68.7566661522815,16.029909495989195,38.26086956521739,3.054743084326705,False
oddball_flex,flex,PO9,occipital,open,2,57.1053,4.501501791340656,131.20510907075982,15.028138202500973,50.43478260869565,1.364059247558682,True
oddball_flex,flex,P3,parietal,open,2,57.1053,2.004036165271274,25.7443943357165,6.89770699152147,3.4782608695652173,0.3226087131125048,False
oddball_flex,flex,P7,parietal,open,2,57.1053,3.5024732565888184,54.259825312887585,34.157016129090536,33.91304347826087,0.3848547926134652,False
oddball_flex,flex,CP1,centro-parietal,open,2,57.1053,1.5489142638750704,35.87113349930638,17.623362550208856,16.52173913043478,0.35473572188719404,False
oddball_flex,flex,CP5,centro-parietal,open,2,57.1053,1.6441886543851336,20.993020826176274,6.292013983470622,2.608695652173913,0.17602923557798497,False
oddball_flex,flex,C4,central,open,2,57.1053,1.4555198495334727,19.213874149503006,5.559337285865611,0.8695652173913043,0.5836406594068551,False
oddball_flex,flex,T8,central,open,2,57.1053,2.578609187266557,36.670974006455296,25.145835824815876,12.173913043478262,0.7884503403454992,False
oddball_flex,flex,FC2,fronto-central,open,2,57.1053,1.3698249070992765,20.619916829099964,5.307203624400426,0.0,0.3098917721391902,False
oddball_flex,flex,FC6,fronto-central,open,2,57.1053,1.9291293174747237,31.596413182306645,5.851154309978437,5.217391304347826,0.6519105530530698,False
