time,value,condition,sample,sample_error_ms,pressed,correct,rt_from_marker_s,block
848.4022,GnG-high,go,108583,-3.278504638274171,True,True,0.33001364270442485,1
850.1755,GnG-low,nogo,108810,-3.0684024266065535,False,True,,1
852.0148,GnG-low,nogo,109046,1.6621574803821204,False,True,,1
853.6023,GnG-high,go,109249,0.2155076931558142,True,True,0.395511424493092,1
855.1165,GnG-low,nogo,109443,1.8194070181607458,False,True,,1
857.0187,GnG-low,nogo,109686,-1.0531370493254144,False,True,,1
858.7196,GnG-low,nogo,109904,0.7583166410540798,False,True,,1
860.2592,GnG-low,nogo,110101,0.3076670986956742,False,True,,1
862.1035,GnG-high,go,110337,0.06380147272011527,True,True,0.33289210450950935,1
863.576,GnG-low,nogo,110525,-3.568930637811718,False,True,,1
865.1555,GnG-high,go,110728,3.6331777163240986,True,True,0.3865673653705622,1
866.7387,GnG-low,nogo,110930,-1.9062860939129678,False,True,,1
868.4631,GnG-low,nogo,111151,0.45934807792491483,False,True,,1
870.3841,GnG-low,nogo,111397,1.6285882404645236,False,True,,1
871.6872,GnG-low,nogo,111564,3.414655119172494,False,True,,1
873.2525,GnG-low,nogo,111764,1.1656274168672098,False,True,,1
874.9816,GnG-low,nogo,111985,-1.6458435865160936,False,True,,1
876.6165,GnG-low,nogo,112194,-3.5546958059740064,False,True,,1
878.2641,GnG-low,nogo,112405,-2.4385831198969754,False,True,,1
879.688,GnG-low,nogo,112588,3.47213350516995,False,True,,1
881.5144,GnG-low,nogo,112821,-2.4685713433427736,False,True,,1
883.1349,GnG-low,nogo,113029,2.1059246546428767,False,True,,1
884.8354,GnG-low,nogo,113246,-2.7871848325276005,False,True,,1
886.5732,GnG-low,nogo,113469,1.7878194182685547,False,True,,1
888.1578,GnG-high,go,113672,3.3082734889831045,True,True,0.33358243592624454,1
889.6795,GnG-low,nogo,113866,-2.5430799303194362,False,True,,1
891.1747,GnG-high,go,114058,2.457758531363652,True,True,0.3097737828623626,1
892.9871,GnG-low,nogo,114290,2.673358742185883,False,True,,1
894.3596,GnG-low,nogo,114465,-2.359761190973586,False,True,,1
896.4084,GnG-low,nogo,114728,3.62919659551153,False,True,,1
898.0833,GnG-high,go,114942,0.7642430703072023,True,True,0.3994638077457076,1
